time,ax,ay,az,atotal
2.956,-0.93,-4.94,-17.52,18.22
2.966,-0.55,-5.89,-7.52,9.57
2.976,1.08,-3.76,-15.17,15.67
2.986,2.00,0.34,-21.79,21.88
2.996,3.63,2.91,-18.00,18.59
3.006,3.55,3.59,-14.45,15.31
3.016,0.95,1.81,-12.95,13.11
3.026,-0.86,-1.63,-3.73,4.16
3.036,-1.45,-5.36,-0.67,5.59
3.046,1.91,-5.77,-16.60,17.68
3.056,-0.06,-7.26,-7.21,10.23
3.066,-2.31,-7.14,-4.76,8.88
3.076,1.64,-6.43,-6.15,9.04
3.086,4.77,-4.20,-10.56,12.33
3.096,7.49,-3.43,-3.16,8.83
3.106,8.10,-2.46,-1.70,8.63
3.116,4.08,-0.20,-4.46,6.05
3.126,1.91,1.59,-6.52,6.97
3.136,1.69,-0.08,-3.34,3.74
3.146,1.88,-2.47,-0.61,3.17
3.156,1.23,-2.18,-1.03,2.71
3.166,0.14,-1.50,-2.21,2.68
3.176,0.13,-1.49,-1.89,2.41
3.186,-0.20,-1.14,-1.09,1.59
3.196,-0.68,-0.36,-0.82,1.12
3.207,-0.75,0.29,-0.66,1.04
3.217,-0.50,0.68,-0.57,1.02
3.226,-0.43,0.58,-0.76,1.05
3.237,-0.71,0.22,-0.73,1.05
3.246,-0.88,-0.04,-0.65,1.10
3.257,-0.78,-0.12,-0.69,1.05
3.267,-0.52,-0.01,-0.54,0.75
3.277,-0.08,0.07,0.08,0.13
3.287,0.27,-0.09,0.65,0.71
3.297,0.60,-0.32,0.73,1.00
3.307,0.83,-0.48,0.65,1.16
3.317,0.78,-0.46,0.59,1.08
3.327,0.62,-0.44,0.57,0.95
3.337,0.34,-0.29,0.55,0.71
3.347,0.17,0.08,0.65,0.68
3.357,-0.03,0.35,0.84,0.91
3.367,-0.26,0.53,1.05,1.21
3.377,-0.43,0.71,1.11,1.39
3.387,-0.67,0.63,0.92,1.30
3.397,-0.92,0.61,0.72,1.32
3.407,-0.99,0.55,0.66,1.31
3.417,-0.77,0.20,0.58,0.98
3.427,-0.32,-0.04,0.37,0.49
3.437,0.08,-0.24,0.37,0.44
3.447,0.25,-0.37,0.37,0.58
3.457,0.36,-0.49,0.07,0.61
3.467,0.51,-0.59,-0.08,0.78
3.477,0.72,-0.72,-0.06,1.02
3.487,0.91,-0.96,-0.20,1.34
3.497,1.05,-1.26,-0.39,1.69
3.507,1.13,-1.48,-0.40,1.91
3.517,1.22,-1.43,0.03,1.88
3.527,1.07,-1.19,0.22,1.61
3.537,0.92,-0.79,0.13,1.22
3.547,0.68,-0.71,0.41,1.07
3.557,0.20,-1.02,1.23,1.62
3.567,-0.16,-1.34,1.68,2.16
3.577,-0.17,-1.53,1.66,2.27
3.587,-0.09,-1.72,1.40,2.22
3.597,-0.43,-1.54,1.49,2.18
3.607,-0.76,-0.21,2.24,2.37
3.617,-0.05,-0.64,2.19,2.28
3.627,0.11,-1.49,2.04,2.53
3.637,0.36,-1.33,2.76,3.08
3.647,0.83,-1.48,2.59,3.09
3.657,1.23,-1.25,3.10,3.56
3.667,1.58,-2.26,4.45,5.24
3.677,1.69,-3.80,7.02,8.16
3.687,2.24,-5.74,9.21,11.08
3.697,2.80,-9.88,12.22,15.97
3.707,3.20,-17.16,16.11,23.75
3.718,3.61,-21.53,6.91,22.90
3.728,4.25,-19.15,-3.40,19.91
3.738,3.76,-11.66,10.13,15.90
3.748,-0.98,-5.41,5.72,7.93
3.758,-3.35,-3.68,4.40,6.64
3.768,-5.65,-4.57,15.77,17.36
3.778,-9.06,-6.13,16.28,19.61
3.788,-10.28,-6.35,13.20,17.89
3.798,-6.34,-3.96,12.22,14.32
3.808,-1.21,-2.81,14.45,14.78
3.818,0.32,-2.17,13.92,14.09
3.828,-0.27,-0.92,12.76,12.79
3.838,-1.28,0.20,11.73,11.80
3.848,-2.56,0.94,10.96,11.29
3.858,-3.71,1.33,9.30,10.10
3.868,-4.30,1.58,7.65,8.91
3.878,-4.61,1.48,6.77,8.32
3.888,-4.51,1.09,5.67,7.33
3.898,-4.07,0.59,5.36,6.75
3.908,-3.54,-0.01,5.50,6.54
3.918,-2.99,-0.48,4.03,5.04
3.928,-2.63,-0.88,3.01,4.09
3.938,-2.24,-1.25,2.10,3.31
3.948,-1.73,-1.62,1.15,2.64
3.958,-1.17,-2.15,0.71,2.55
3.968,-0.33,-2.98,0.29,3.01
3.978,0.85,-3.79,-0.98,4.00
3.988,1.19,-4.63,-1.59,5.04
3.998,0.60,-5.55,-2.48,6.10
4.008,0.07,-5.89,-5.34,7.94
4.018,-0.12,-6.18,-7.07,9.39
4.028,-0.41,-6.63,-6.45,9.26
4.038,-0.45,-6.35,-8.00,10.22
4.048,-0.57,-5.85,-10.11,11.70
4.058,-0.66,-5.56,-11.17,12.49
4.068,-0.72,-5.42,-12.34,13.50
4.078,-1.04,-5.44,-13.57,14.66
4.088,-1.65,-5.54,-14.81,15.90
4.098,-1.85,-5.09,-16.84,17.69
4.108,-1.69,-3.90,-17.49,18.00
4.118,-1.31,-2.23,-17.91,18.10
4.128,-0.94,-0.72,-18.62,18.66
4.138,-0.44,0.59,-19.06,19.07
4.148,0.11,1.61,-19.30,19.37
4.158,0.00,1.24,-18.88,18.92
4.168,-0.57,0.28,-17.88,17.89
4.179,-0.79,-0.17,-16.90,16.92
4.188,-1.12,-0.62,-15.32,15.38
4.198,-1.39,-1.34,-13.21,13.35
4.208,-0.89,-2.14,-5.75,6.20
4.218,1.41,-7.91,34.28,35.21
4.228,4.06,-9.49,-1.12,10.38
4.238,3.54,-4.81,-14.69,15.86
4.248,2.14,-3.57,-0.37,4.18
4.258,3.38,-1.47,-11.32,11.91
4.268,3.00,-1.37,-8.31,8.94
4.279,0.86,-3.41,-0.40,3.54
4.288,-0.26,-4.08,0.52,4.12
4.299,-0.69,-2.22,-5.80,6.25
4.309,0.08,-0.29,-3.08,3.10
4.319,0.50,0.13,-1.55,1.63
4.329,-0.89,0.38,-0.88,1.31
4.339,-0.74,0.11,-1.20,1.42
4.349,-0.06,-0.85,-1.88,2.06
4.359,-0.16,-1.68,-1.77,2.44
4.369,-0.41,-1.54,-1.22,2.00
4.379,-0.72,-0.63,-0.86,1.29
4.389,-1.19,0.29,-0.85,1.49
4.399,-1.22,0.48,-0.62,1.45
4.409,-0.82,0.18,-0.58,1.02
4.419,-0.07,-0.26,-0.47,0.54
4.429,0.54,-0.55,-0.21,0.80
4.439,0.56,-0.50,-0.23,0.78
4.449,0.31,-0.16,-0.14,0.38
4.459,0.20,0.21,-0.09,0.30
4.469,0.32,0.39,-0.26,0.57
